Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country,Gender_male
a7aa0cca-af1f-41f1-8f50-291b95c985e1,91e0b28661eff1b0cf8101cc4af363b0e1216ab9f0f46e99f8f7fdd2cfd2238a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 1000 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1.0,Risk 1000,41,male,Tanzania,1
35e3227c-20cb-44c7-8ba2-11e824648ea3,85719b61c60ce4604521ba2b16b78bf204e962be710416b57c6429b3315c548a,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,57,female,Tanzania,0
d1162619-22e6-4756-a16d-4685c00c3802,96f18ba0eb9b1f2477e11c828516382322ee57eb40adde5581c420ce096cb5ea,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,26,female,Tanzania,0
45dfeb6c-0173-42b2-9978-92cbe50671a3,c965c84ebebdf19a1c679bfe423e2e49c13caa2efa9518168f4a93cafc541dae,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,76,female,Tanzania,0
a98957af-843a-475c-aa6b-ea68e7b45462,c183fb9e584ca3f3f9d742082117b4304492af6293b373822666557c26ad48e6,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,47,female,Tanzania,0
876f7593-424e-4542-96e4-ee8fdfbc145e,a6f61c8f328fc760be01670884e588cde586544b120b6806b9de5698120c519e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,65,male,Tanzania,1
6cbf5cbe-d366-4748-ad77-23b7257d81cf,89d067bfae0fe47a2628ee058439d683bd2caa8896011d1413f57473763a7f85,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 1000 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1.0,Risk 1000,30,female,Tanzania,0
21a2c6a3-885a-41a5-bbe5-9633da7b41d6,30e1f66b92dde7b8c9de7db1ce7138c9a52e919e87db3a6b8ab282cb428bb1eb,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,72,male,Tanzania,1
6af2d3f8-6c95-4cc9-8d94-734cad3e97e7,f162c6d077fb161c0972028defb06fe531ccaf08357ad2e870283a24bd362db8,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,69,male,Tanzania,1
f8c2fa65-6c29-4330-be6c-6563ca5ecb4b,9896bc2ae8ab88e5767abda9b94fa4a617cd528ad47607674c7072ff33f13d7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,21,female,Tanzania,0
68715bb4-c070-4026-a5e7-3689af326e5d,a2a93a5665bba0a69ed9f0273b303951131cfa6d491a8eb97d2c2e9ed79974d6,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 1000 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1.0,Risk 1000,19,female,Tanzania,0
d767cb73-8ed9-4c27-88c2-9999632505b0,d645ee92b27923edaf0e68d074228b852d80d3fb03f54b3ac873bb12c054ef70,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 1000 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1.0,Risk 1000,19,male,Tanzania,1
2bae2548-fe20-4dd7-a484-b84224fd05b3,202f8235d852689cde85670cf3c1162b2d4f8c6512c48be4b478986b0fa2ce7e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,53,male,Tanzania,1
6d36d271-976f-4f43-8232-84f258d80e6a,5f18788a4cb8f7cb352b895dfb4871261e14159f9ddf20f80bc5a3e99df160ee,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,75,male,Tanzania,1
3d083de0-6113-471b-977a-b903a7b278b9,30e1f66b92dde7b8c9de7db1ce7138c9a52e919e87db3a6b8ab282cb428bb1eb,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,72,male,Tanzania,1
725a61f8-9c82-491a-9991-f21b371dc53a,9f8223c0e466e9e1c49a8375e5d87362395a22441f4ca51ca1bdf9e143bc9a92,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,43,female,Tanzania,0
30856c6a-04d9-4b0e-b986-d9fb599d573f,542c215f4f5a760e7795b1a9211bdb1b7955401c4cfa971262d276611512a590,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 1000 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1.0,Risk 1000,18,male,Tanzania,1
c5c3687e-be76-47b4-b87a-02e6f9e8e93a,cee39a12a3afc9e191130eb3af7b5474b3ee0567031ced7c521a4941e50b3eb0,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,28,female,Tanzania,0
d0239d46-fec0-47e8-ba4f-2fb96df7c407,f7e226ce64324e86333aab972093ac93dd347397294057b37e48e6eb97347920,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,67,male,Tanzania,1
24e3917a-ebc8-4294-ae83-364909b3e8e3,59aa9b1980a5a95929dfd9197661b56b1e5df442618cfa057a5facc2aca92692,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,27,female,Tanzania,0
c3a5a7c9-a1cc-4a37-94dc-fb9843bb80e1,e2ad6858c2e4c2f67215e716820a9bf077c1fc67f8fe148e086388d8ecb0ba9c,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,80,male,Tanzania,1
6ae4a59a-3a2c-4323-841c-c5ad2267fa7a,59aa9b1980a5a95929dfd9197661b56b1e5df442618cfa057a5facc2aca92692,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,27,female,Tanzania,0
dfd1bb8d-d4d9-4eeb-8685-552bf90591b6,9c17f830b623ea1b8ad6d18e62d4a13cfe04b0a388223b4c77068366ce22ae06,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,67,female,Tanzania,0
2130ba47-5cd8-4724-aafe-a079b761a53a,9b5fb3f4a9b3b16df8ed997c545b0eee348a54a851294ccdd3dc59c2f8e3515d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,78,female,Tanzania,0
1b027e55-b299-4524-8acb-4bf450b359ff,430fa8b0fb81c2ab173a02ecaaa7c24d7b96f41d4082b26ad14d67aaa4a9e2d0,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 1000 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1.0,Risk 1000,33,male,Tanzania,1
16f649c5-a4c9-49e7-b417-3a6693900cd2,62c55fc95075125e017cbaaf1143500b6fc71aa9949fc3b9bf45f676d85d1176,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 15000 TZS and the same 50-percent chance of receiving nothing, OR Option 2: 500 TZS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0.0,Risk 500,39,female,Tanzania,0
